BookID,Brightness,Colorfulness,Entropy,UniqueColors,Keypoints,Color1R,Color1G,Color1B,Color2R,Color2G,Color2B
145210221X,0.8110449,41.455348246434795,5.925509,33446,0.006086767895878525,249,250,245,150,172,213
0863152287,0.45291653,95.7678408373213,6.373887,56910,0.012796208530805687,204,76,29,226,135,70
0545550440,0.67592514,58.08405448704999,7.224461,106972,0.03243023255813954,224,226,173,195,162,124
0746016581,0.5011968,52.07910717775361,7.8649707,49514,0.021969912006812375,128,90,63,189,156,117
0801088925,0.46509644,45.669398814967934,7.320584,10296,0.03162202380952381,123,93,79,177,158,137
1477474129,0.7678941,33.883636942280155,6.2753997,56231,0.021075,232,239,237,234,232,217
006113192X,0.6483235,83.04118820175643,7.5204353,146035,0.020048672566371682,212,148,96,192,228,247
0516268570,0.4472562,36.97274094135298,7.70629,60950,0.019529411764705882,166,150,128,40,36,32
0679877053,0.7758034,60.57227157814489,5.2143683,79554,0.026245430809399478,251,250,247,200,166,104
1561454613,0.5043807,57.78711648880853,7.629393,97657,0.018662131519274375,45,105,114,17,53,68
1481430335,0.7178372,57.63855811543078,6.6689396,102727,0.020656716417910448,250,250,250,125,193,159
0064452131,0.7598693,99.82418400073159,6.929204,101157,0.027125307125307124,198,245,73,208,236,225
1432952307,0.3764024,54.542906882376634,7.0969744,46647,0.01508080808080808,139,70,58,54,46,44
0521756367,0.3406189,45.260496435517894,7.2571344,24553,0.02639759036144578,58,93,120,23,48,68
0756508134,0.3514079,42.88313947843386,6.431822,33159,0.010982248520710058,14,20,40,241,202,170
0688135781,0.48750702,82.84786891939626,7.647178,111529,0.04419559902200489,48,21,12,170,87,49
0718827058,0.77199817,37.44519189461882,6.4587493,54109,0.02976536312849162,247,239,198,192,157,124
1423120876,0.805913,69.83799838249762,6.705962,94362,0.021228915662650602,208,226,108,235,239,204
1432936859,0.65693986,78.74023229576848,7.214062,51464,0.005957943925233645,207,152,93,231,215,203
0545773547,0.45296758,79.04464175721247,7.467801,119105,0.0337,44,103,158,98,175,208
0689829833,0.47723287,46.79397964167385,7.306836,58387,0.032243161094224926,169,137,74,109,92,82
0887432875,0.7048889,140.25444244337373,6.100905,55146,0.012546546546546546,254,253,247,3,187,222
0531238547,0.52648103,79.16772990184216,7.1321692,111785,0.026759550561797754,114,192,104,43,177,79
0142400734,0.5100827,65.90069015526957,7.5692983,128915,0.0353319587628866,191,167,98,222,218,108
0316256749,0.19970912,80.1359548803665,6.3007917,42506,0.01441860465116279,15,12,11,166,14,33
0394859170,0.6770099,76.6342718653846,7.1329875,99515,0.01834136546184739,248,207,200,211,148,92
0439434408,0.55902433,85.14704923333447,7.3101225,65441,0.014501347708894878,241,222,100,87,129,70
1460257170,0.4218495,102.70093364212103,6.6064177,75320,0.019585492227979274,51,169,91,140,77,48
158023433X,0.67785233,60.13382323893744,6.2327704,83478,0.017788113695090438,89,90,159,250,244,229
0140375945,0.605645,23.825463840326137,7.043666,18601,0.02077005347593583,132,93,85,144,180,182
0694002690,0.4624378,121.01011282651474,5.9343734,44754,0.004045558086560364,146,103,205,245,65,2
0141325283,0.30769363,27.473031106434238,6.400119,45227,0.020425414364640883,51,37,52,39,37,57
0486251861,0.661973,43.901800832848025,7.363778,77654,0.052627659574468084,174,217,244,177,162,127
1429662662,0.41738328,55.39626539443696,7.3580384,68001,0.022784,65,82,149,31,59,129
1442493348,0.52858543,44.886074750000084,7.8701434,72206,0.025202416918429,235,220,235,55,42,117
1250052157,0.5342789,93.69148120743195,6.929651,62414,0.023567567567567567,153,189,54,174,178,65
