ID,Sales Rank,Date,Review Score,Review Count
0736864687,3335314.0,"September 1, 2006",5.0,1
159017125X,9982.0,"July 10, 2005",4.76,249
0679863710,14132.0,"March 21, 1995",4.68,174
0439019109,10770109.0,"September 14, 2001",0.0,0
0870334425,260917.0,"September 1, 1993",5.0,4
0590483838,117288.0,"October 1, 1999",4.12,27
1622851102,1709343.0,"April 1, 2014",5.0,2
0395967880,1261005.0,"October 15, 2001",4.32,12
0812035666,152252.0,"April 30, 1985",4.88,8
1589478444,2828103.0,2007,3.35,3
1591163595,131246.0,"December 7, 2004",5.0,24
0740797999,799717.0,"October 5, 2010",4.67,3
0316042722,291222.0,"August 1, 2008",4.73,63
0778746151,4616287.0,"August 1, 2009",0.0,0
0803715536,4190008.0,"February 1, 1997",2.5,2
1465443924,8366.0,"November 3, 2015",4.67,46
1554986923,103809.0,"October 6, 2015",4.17,6
0448482606,44551.0,"December 4, 2014",4.45,32
0439793793,23752.0,"September 1, 2006",4.73,79
1454908718,127578.0,"August 6, 2013",4.21,617
0471178993,1098532.0,"May 22, 1998",3.92,12
0749681160,7744785.0,"February 28, 2008",0.0,0
1593692919,686620.0,"September 1, 2007",4.6,46
053105988X,355868.0,"March 1, 1992",4.37,11
073684970X,2619138.0,"September 1, 2005",3.25,4
1432961306,3969513.0,"February 1, 2012",0.0,0
1419712470,130069.0,"August 11, 2015",4.93,28
1554516218,1204094.0,"January 9, 2014",4.5,2
0440413249,16188.0,"January 22, 1997",4.59,199
1404847057,3607354.0,"September 1, 2008",5.0,1
1404819207,123925.0,"January 1, 2006",4.29,13
1481402633,138458.0,"September 1, 2015",4.84,19
1477817239,279868.0,"September 3, 2013",4.76,178
1433974843,2031132.0,"August 1, 2012",1.0,1
0763635669,118302.0,"August 28, 2007",4.58,17
0316381306,2301.0,"July 21, 2015",4.74,272
0375861947,36244.0,"August 10, 2010",4.67,46
1442499214,521359.0,"August 4, 2015",4.01,36
1401220789,25151.0,"February 10, 2009",4.42,51
1404236236,7259549.0,"June 30, 2007",0.0,0
1465402497,74705.0,"February 18, 2013",4.8,24
1471851338,3047648.0,"December 15, 2016",0.0,0
1771080108,3781746.0,"September 1, 2013",0.0,0
0761463135,39958.0,"December 4, 2012",4.52,88
0984384871,3311958.0,"April 28, 2014",4.67,3
0140566570,72674.0,"June 10, 2002",3.95,36
0778700674,387207.0,"October 28, 2013",0.0,0
0991624483,4940171.0,"August 21, 2014",5.0,42
0781430763,64144.0,"August 15, 1998",4.87,106
076420078X,51085.0,"June 1, 2005",4.63,37
0750222247,,"October 31, 1998",0.0,0
0375832076,6002.0,"January 11, 2005",4.66,222
1419718991,116037.0,"February 9, 2016",4.67,41
147659919X,7157988.0,"July 1, 2014",0.0,0
1433981815,1844664.0,"January 1, 2013",0.0,0
1609911385,2385126.0,"September 8, 2015",4.92,12
156554773X,1715376.0,"January 31, 2000",3.52,6
0679887911,105526.0,"April 28, 1998",4.29,59
0689834136,5608.0,"June 1, 2000",4.51,486
1592962424,10298149.0,"August 1, 2004",5.0,1
1404175601,76246.0,"January 12, 2009",4.7,64
0679883401,30737.0,"January 12, 1998",4.72,81
0439782244,638425.0,"January 1, 2006",4.69,19
0823412733,948044.0,"January 1, 1994",4.37,13
1852103108,15165358.0,1988,0.0,0
1423129776,241411.0,"January 5, 2010",4.5,81
0590451588,69906.0,"August 1, 1992",4.78,29
0750219394,15684670.0,"November 30, 1996",5.0,1
0807544558,857039.0,"September 1, 2010",4.65,20
0761461671,1641256.0,"September 18, 2012",4.27,35
1481422006,752248.0,"October 14, 2014",4.93,14
1910199427,,,5.0,1
0071408223,224099.0,"February 21, 2003",4.59,42
1743604343,538380.0,"November 1, 2014",4.55,37
1596432160,460717.0,"August 4, 2009",4.9,10
038537254X,4754.0,"July 8, 2014",4.72,106
1423102975,6722.0,"April 1, 2007",4.94,261
1429601477,3497317.0,"September 1, 2007",0.0,0
1616419431,1782970.0,"January 1, 2013",5.0,1
0816728186,3130042.0,"January 29, 1998",5.0,1
0690048254,300822.0,"September 30, 1990",4.72,22
1467757810,98369.0,"August 1, 2014",5.0,2
1608932788,188365.0,"August 7, 2014",4.37,11
1434279294,20640.0,"February 1, 2014",4.84,29
0789466821,47279.0,"October 1, 2000",4.55,11
1423106520,4798.0,"June 1, 2007",4.39,484
1426309473,84627.0,"February 14, 2012",4.28,27
0803730551,119884.0,"May 29, 2008",4.77,70
0761130667,19208.0,"October 8, 2008",4.7,129
0688147402,112498.0,"March 29, 1996",4.84,12
1506163068,284268.0,"January 9, 2015",0.0,0
1423106873,415.0,"September 1, 2007",4.94,260
0865935688,4557756.0,"August 1, 1999",0.0,0
1555911862,1221313.0,"October 18, 1994",4.63,8
0531117561,7380587.0,"March 1, 2000",3.5,2
1906430012,,"October 22, 2007",0.0,0
1445108003,15175430.0,"February 1, 2012",0.0,0
0763654116,5785.0,"September 27, 2011",4.86,226
0448431319,42679.0,"May 12, 2003",4.63,66
1442488239,92994.0,"August 5, 2014",4.68,51
0545708974,150160.0,"September 29, 2015",4.5,6
0736852166,4990816.0,"September 1, 2004",1.0,1
0792266919,1152980.0,"May 1, 2002",4.25,4
0786802936,3810635.0,"October 1, 1997",0.0,0
0778780759,4239451.0,"February 28, 2015",0.0,0
1442006358,1983623.0,"April 9, 2009",4.88,17
160413089X,124455.0,"April 1, 2009",5.0,1
0385385080,53446.0,"July 22, 2014",5.0,9
0545093341,1013428.0,"November 1, 2008",3.72,42
0689832133,7747.0,"February 1, 2000",4.67,765
0316070297,68906.0,"July 1, 2014",4.87,47
1442449527,8882.0,"January 3, 2012",4.91,97
0823420140,51756.0,"March 1, 2006",4.95,40
1933241551,15887.0,"June 5, 2008",4.71,81
0544107934,10874.0,"July 9, 2013",4.45,1080
0439673631,3488.0,"January 1, 2005",4.81,792
1429647515,12624972.0,"July 1, 2010",2.0,1
0975982915,125219.0,"August 6, 2015",4.04,21
1629703176,6721087.0,"September 1, 2014",0.0,0
1569767114,344363.0,"October 1, 2011",4.51,21
0816025398,14722140.0,"July 1, 1992",0.0,0
1623610184,73194.0,"September 18, 2012",4.55,186
084314906X,361852.0,"August 26, 2002",4.6,10
1416994157,7935.0,"September 3, 2013",4.68,391
0749655305,6107475.0,"January 31, 2005",0.0,0
0694002690,889520.0,"May 10, 1989",4.41,47
1570917833,280461.0,"February 1, 2012",4.57,26
1477816453,99584.0,"April 2, 2013",4.54,50
1426322534,426905.0,"August 4, 2015",4.62,13
1845075102,2105996.0,"April 3, 2006",4.0,4
1429628448,1705029.0,"September 1, 2008",5.0,6
1442466634,25960.0,"March 10, 2015",4.75,178
0307982254,1307239.0,"July 23, 2013",4.88,8
0061255122,221069.0,"April 10, 2007",4.72,55
0142417521,69269.0,2011,4.68,173
1937747549,93027.0,"June 1, 2015",5.0,7
0822500795,3546283.0,"September 1, 2002",5.0,1
0871663864,878408.0,"January 1, 1982",4.54,43
0857980203,14921440.0,"February 1, 2014",0.0,0
0544109880,44856.0,"October 8, 2013",4.45,1080
0385387814,191908.0,"May 26, 2015",4.44,65
0778724700,588043.0,"November 1, 2006",4.0,1
